 MetricLens Audience Summary report generated by Conviva Pulse.
 This report must be used in conformance with customer's
 Subscription Agreement & Data Policy with Conviva.
 Report generated on Jan 09 2018 11:25:04 +1100 (MAGT)
 Copyright 2018 Conviva Inc.
 Conviva Confidential

 Time range: 2018-01-07 - 2018-01-08 +1100
 Filters:, All Traffic

 
 Assets, Plays, Unique Devices, Total Minutes min, Average Unique Device Ended Plays, Average Unique Device Minutes min, Average Ended Play Minutes min, Average % Complete %
 Frida, 651, 394, 24416.01, 1.55, 61.97, 40.03, 33.99
 Berlin Station S2 Ep3 - Right To The Heart, 667, 438, 18339.26, 1.38, 41.87, 30.41, 61.11
 Feeling Sexy, 595, 579, 436.33, 1.02, 0.75, 0.74, 22.22
 Berlin Station S2 Ep5 - Right Of Way, 651, 442, 17217.28, 1.34, 38.95, 29.08, 61.14
 Berlin Station S2 Ep7 - Right And Wrong, 636, 418, 16116.47, 1.42, 38.56, 27.22, 63.86
 Berlin Station S2 Ep8 - The Righteous One, 638, 434, 18114.18, 1.35, 41.74, 30.86, 64.09
 Best In Bed, 651, 414, 15328.24, 1.42, 37.02, 26.16, 30.14
 Chance S1 Ep3 - Hiring It Done, 629, 419, 14929.66, 1.39, 35.63, 25.61, 62.23
 Berlin Station S2 Ep4 - Do The Right Thing, 640, 422, 19612.01, 1.38, 46.47, 33.64, 62.8
 Manchester United v Derby County, 632, 554, 772.13, 1.04, 1.39, 1.34, 87.12
 The Vietnam War S1 Ep3 - Hell Come To Earth, 620, 413, 18805.04, 1.4, 45.53, 32.53, 57.26
 Berlin Station S2 Ep9 - Winners Right The History Books, 652, 418, 21688.06, 1.36, 51.89, 38.12, 70.74
 Berlin Station S2 Ep6 - Hoyre Hook (The Right Hook), 616, 411, 16613.83, 1.36, 40.42, 29.72, 61.51
" Berlin Station S2 Ep2 -Right Here, Right Now", 614, 422, 17193.23, 1.31, 40.74, 31.2, 63.81
 Ride Upon The Storm S1 Ep1, 601, 423, 15214.51, 1.3, 35.97, 27.66, 46.54
 Chance S1 Ep4 - The Mad Doctor, 605, 414, 15586.25, 1.33, 37.65, 28.39, 64.47
 Motor Sport: Dakar Rally 2018 S2018 Ep2, 561, 460, 10867.69, 1.17, 23.63, 20.2, 77.59
 The Vietnam War S1 Ep4 - Doubt, 573, 381, 17112.35, 1.41, 44.91, 31.81, 54.6
 The Vietnam War S1 Ep6 - Things Fall Apart, 553, 378, 16017.11, 1.33, 42.37, 31.84, 61.53
 Facebookistan, 547, 381, 12445.82, 1.31, 32.67, 24.84, 42.2
 The Vietnam War S1 Ep5 - This Is What We Do, 553, 349, 15827.63, 1.43, 45.35, 31.72, 58.56
 Minuscule The Movie, 584, 396, 14593.96, 1.26, 36.85, 29.36, 34.67
 Road Nationals Day 4 wrap, 533, 469, 1194.47, 1.05, 2.55, 2.43, 73.57
 Human Planet S1 Ep1 - Oceans: Into The Blue, 492, 355, 11828.26, 1.28, 33.32, 25.94, 52.53
 The World According To Garp, 498, 315, 20777.89, 1.44, 65.96, 45.77, 35.01
 Bobo and Ninkovic make it look easy against Brisbane, 442, 428, 266.38, 1.03, 0.62, 0.6, 90.6
 Sevilla v Real Betis, 462, 415, 640.47, 1.06, 1.54, 1.46, 88.42
 Nymphomaniac - Scene Clip, 431, 393, 315.47, 1.09, 0.8, 0.74, 65.85
 Gombau fuming after Wanderers denied clear penalty, 406, 392, 392.06, 1.05, 1.0, 0.96, 89.65
 Carol, 446, 269, 16167.32, 1.51, 60.1, 39.72, 34.99
 Richie Porte is back, 397, 371, 1769.02, 1.08, 4.77, 4.41, 79.49
 Neil Armstrong: First Man on the Moon - Neil Armstrong: The Enigma Explained, 407, 288, 12322.31, 1.38, 42.79, 31.04, 52.7
 Nainggolan's controversial New Year's celebrations, 409, 373, 467.6, 1.02, 1.25, 1.23, 61.53
 Replay: Road National Championships men, 430, 263, 9730.7, 1.39, 37.0, 26.59, 11.37
 The Young And Prodigious TS Spivet, 391, 247, 16453.94, 1.47, 66.62, 45.33, 44.98
 Manchester United game a chance for Wright to impress, 361, 352, 172.15, 1.02, 0.49, 0.48, 77.98
 Monty Python And The Holy Grail, 334, 234, 12672.64, 1.48, 54.16, 36.63, 42.82
 Messi ties Muller's record with exquisite volley, 353, 329, 183.45, 1.02, 0.56, 0.55, 88.54
 Riviera S1 Ep9, 338, 202, 8003.54, 1.66, 39.62, 23.89, 54.92
 Road nationals criteriums, 379, 321, 571.23, 1.03, 1.78, 1.72, 87.49
 Roma v Atalanta, 359, 315, 464.1, 1.02, 1.47, 1.45, 94.29
 Strange Signals From Outer Space, 358, 232, 8172.49, 1.37, 35.23, 25.78, 50.12
 Mars: The Ultimate Traveller's Guide, 314, 210, 8463.11, 1.48, 40.3, 27.21, 53.69
 Ride Upon The Storm S1 Ep5, 358, 230, 10274.99, 1.34, 44.67, 33.25, 58.65
 What We Did On Our Holiday, 338, 221, 13556.42, 1.38, 61.34, 44.45, 48.78
 Ride Upon The Storm S1 Ep3, 328, 223, 10484.19, 1.36, 47.01, 34.6, 59.25
 Ride Upon The Storm S1 Ep2, 329, 222, 10020.36, 1.35, 45.14, 33.4, 57.18
 Premonitions  S1 Ep1, 330, 240, 6125.04, 1.25, 25.52, 20.42, 50.14
 Apocalypto, 339, 192, 10288.37, 1.54, 53.59, 34.88, 27.04
 Ride Upon The Storm S1 Ep7, 330, 214, 10680.04, 1.37, 49.91, 36.33, 62.27
 Harlots S1 Ep1, 317, 227, 8462.87, 1.28, 37.28, 29.08, 62.03
 Van Dijk scores on Liverpool debut, 299, 287, 210.38, 1.01, 0.73, 0.73, 94.95
 Ride Upon The Storm S1 Ep8, 317, 205, 10355.08, 1.41, 50.51, 35.83, 61.27
 Ride Upon The Storm S1 Ep4, 331, 226, 10737.23, 1.25, 47.51, 37.94, 64.89
 Adelaide smash faltering Perth, 297, 273, 396.03, 1.03, 1.45, 1.4, 83.43
 The Good Fight S1 Ep3 - The Schtup List, 330, 176, 6382.69, 1.6, 36.27, 22.71, 53.4
 Ride Upon The Storm S1 Ep6, 325, 197, 9685.18, 1.41, 49.16, 34.84, 59.89
" Marry Me, Marry My Family promo", 273, 238, 372.24, 1.17, 1.56, 1.34, 90.27
 The Good Fight S1 Ep10 - Chaos, 304, 186, 7984.73, 1.49, 42.93, 28.72, 60.64
 SBS World News 7 January, 311, 226, 7796.84, 1.22, 34.5, 28.25, 56.11
 Ride Upon The Storm S1 Ep9, 325, 201, 10095.28, 1.36, 50.23, 36.84, 64.79
 Smooth Sydney ease past Brisbane, 271, 263, 378.57, 1.02, 1.44, 1.41, 98.19
 The Good Fight S1 Ep9 - Sweeney Agonistes, 301, 167, 6835.76, 1.55, 40.93, 26.39, 55.74
 Ride Upon The Storm S1 Ep10, 300, 193, 10349.56, 1.34, 53.62, 39.96, 68.33
 The Good Fight S1 Ep2 - First Week, 326, 174, 6547.82, 1.49, 37.63, 25.28, 50.39
 Brooklyn, 295, 155, 10596.42, 1.66, 68.36, 41.23, 38.46
 The Good Fight S1 Ep7 - Not So Grand Jury, 311, 182, 6749.38, 1.41, 37.08, 26.26, 60.03
 The Good Fight S1 Ep6 - Social Media And Its Discontents, 287, 175, 7532.76, 1.46, 43.04, 29.42, 57.02
 Room In Rome, 267, 202, 4872.52, 1.24, 24.12, 19.41, 18.83
 The Last Battle Of The Vikings, 255, 191, 7739.48, 1.31, 40.52, 30.96, 54.07
 The Good Fight S1 Ep5 - Stoppable: Requiem For An Airdate, 291, 161, 5973.36, 1.55, 37.1, 23.89, 48.48
 The Good Fight S1 Ep1 - Inauguration, 303, 186, 6015.09, 1.33, 32.34, 24.35, 52.43
 The Good Fight S1 Ep8 - Reddick V Boseman, 302, 172, 6331.93, 1.39, 36.81, 26.49, 57.35
 Riviera S1 Ep8, 249, 149, 5723.72, 1.54, 38.41, 24.89, 59.42
 Road Nationals Day 3 wrap, 252, 215, 752.01, 1.02, 3.5, 3.42, 78.58
 Search Party S2 Ep10 - Psychosis, 221, 160, 3985.79, 1.37, 24.91, 18.2, 73.09
 Mr. Holmes, 245, 150, 8703.6, 1.45, 58.02, 39.92, 40.08
 The Good Fight S1 Ep4 - Henceforth Known As Property, 277, 154, 5645.98, 1.4, 36.66, 26.26, 58.38
 Riviera S1 Ep10, 252, 163, 6711.17, 1.32, 41.17, 31.21, 68.2
 Prince Philip: The Plot To Make A King, 231, 168, 6333.6, 1.28, 37.7, 29.46, 62.63
 Hector and the Search For Happiness, 210, 109, 8114.18, 1.91, 74.44, 39.01, 33.96
 Holgate shoves Firmino into crowd, 213, 198, 200.3, 1.04, 1.01, 0.98, 96.11
 Sophie And The Rising Sun, 232, 140, 7090.59, 1.46, 50.65, 34.59, 34.35
 Riviera S1 Ep7, 227, 136, 4977.01, 1.46, 36.6, 25.01, 56.82
 Riviera S1 Ep2, 239, 141, 4757.57, 1.41, 33.74, 23.91, 53.64
 I Am Love, 204, 128, 5524.54, 1.51, 43.16, 28.62, 25.0
 Riviera S1 Ep1, 256, 149, 4753.54, 1.29, 31.9, 24.76, 54.71
 We Were Soldiers, 192, 124, 9756.84, 1.54, 78.68, 51.08, 36.9
 Sinatra: All Or Nothing At All Part 1, 209, 141, 8436.8, 1.35, 59.84, 44.4, 39.17
 Harlots S1 Ep2, 226, 147, 5685.01, 1.28, 38.67, 30.24, 65.19
 Jordskott S1 Ep1, 189, 147, 5792.42, 1.25, 39.4, 31.48, 53.58
 Riviera S1 Ep6, 215, 136, 4144.12, 1.35, 30.47, 22.65, 51.45
 Life Of Crime, 189, 137, 7655.74, 1.34, 55.88, 41.83, 44.11
 360, 201, 131, 4844.49, 1.38, 36.98, 26.77, 25.35
 Adoration, 201, 137, 6816.34, 1.31, 49.75, 37.87, 35.44
 Search Party S2 Ep1 - Murder!, 176, 149, 2898.46, 1.19, 19.45, 16.28, 71.52
 The Interview, 187, 119, 6923.16, 1.47, 58.18, 39.56, 39.14
 Convict, 183, 124, 5461.65, 1.38, 44.05, 31.94, 32.41
 Search Party S2 Ep5 - Paranoia, 168, 102, 2697.52, 1.67, 26.45, 15.87, 70.0
 Search Party S2 Ep8 - Hysteria, 178, 133, 2825.36, 1.26, 21.24, 16.82, 74.86
 Wallis: The Queen That Never Was, 171, 110, 6168.11, 1.52, 56.07, 36.93, 39.55
 A Man Called Ove, 173, 112, 8364.49, 1.49, 74.68, 50.09, 44.96
 Riviera S1 Ep4, 186, 113, 3989.51, 1.46, 35.31, 24.18, 56.03
 Search Party S2 Ep9 - Frenzy, 185, 139, 2921.24, 1.17, 21.02, 17.92, 79.3
 If You Are The One S9 Ep14, 189, 113, 5467.76, 1.44, 48.39, 33.54, 51.74
 Food Safari Earth S1 Ep13, 167, 126, 2629.21, 1.29, 20.87, 16.23, 62.46
 The Bureau S1 Ep1, 181, 128, 4361.84, 1.24, 34.08, 27.43, 50.51
 Wonderful Wass chip gives Celta shock lead, 166, 156, 95.92, 1.02, 0.61, 0.6, 80.43
 Spiral S5 Ep1, 164, 108, 4321.84, 1.46, 40.02, 27.35, 48.64
 SBS World News 6 January, 172, 127, 4019.21, 1.22, 31.65, 25.93, 50.98
 Princess Diana's Wicked Stepmother, 169, 112, 4400.91, 1.38, 39.29, 28.39, 61.06
 The Young Pope S1 Ep1, 166, 97, 4588.03, 1.58, 47.3, 29.99, 55.17
 AC Milan v Crotone, 175, 148, 235.62, 1.03, 1.59, 1.55, 92.09
 Struggle Street S2 Ep1, 155, 102, 3712.88, 1.45, 36.4, 25.09, 48.74
 Wuthering Heights, 169, 120, 3640.0, 1.23, 30.33, 24.76, 20.04
 Harlots S1 Ep3, 165, 115, 4733.14, 1.27, 41.16, 32.42, 69.97
 Six S1 Ep1, 158, 126, 3376.01, 1.15, 26.79, 23.28, 59.47
 Premonitions  S1 Ep3, 153, 110, 3700.57, 1.32, 33.64, 25.52, 61.4
" Lord Lucan: My Husband, The Truth", 175, 100, 3980.7, 1.43, 39.81, 27.84, 59.71
 Lola Versus, 184, 104, 4756.4, 1.38, 45.73, 33.26, 39.96
 Hughes storms out of press conference, 177, 140, 130.36, 1.02, 0.93, 0.91, 67.53
